text,label
I love this video! Super helpful and well explained.,positive
"Amazing content, keep it up!",positive
This solved my problem instantly.,positive
"Brilliant breakdown, very clear.",positive
Such a wholesome tutorial.,positive
"Not bad, but could be shorter.",neutral
"It was okay, nothing special.",neutral
"Decent explanation, average quality.",neutral
Some parts were confusing.,neutral
"Meh, it’s fine I guess.",neutral
I didn't like this at all.,negative
Terrible audio quality.,negative
This is misleading and wrong.,negative
"Waste of time, sorry.",negative
Pretty disappointing overall.,negative
Loved the editing and the pacing!,positive
Great examples and code walkthrough.,positive
"Clear and concise, thanks!",positive
Works perfectly on my machine.,positive
Best tutorial on this topic.,positive
Mixed feelings about the approach.,neutral
I have no strong opinion.,neutral
Could use more real-world examples.,neutral
I’m not sure this helped.,neutral
It's okay for beginners.,neutral
Worst advice ever.,negative
Completely incorrect solution.,negative
Spammy and clickbait title.,negative
I regret watching this.,negative
Very buggy code.,negative
